,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,300490,N华自,44.004,13.09,12.0,13.09,12.0,9.09,11700,0.0468
1,603778,N乾景,43.994,27.33,27.33,27.33,27.33,18.98,13700,0.0685
2,300491,N通合,43.989,15.09,13.84,15.09,13.84,10.48,3500,0.0175
3,002777,N久远,43.979,16.5,13.75,16.5,13.75,11.46,9700,0.0485
4,300494,N盛天,43.978,26.06,23.89,26.06,23.89,18.1,7000,0.02333
5,002787,N华源,43.975,16.37,14.37,16.37,14.37,11.37,17901,0.05086
6,603299,N井神,43.902,5.31,5.31,5.31,5.31,3.69,51100,0.05678
7,601188,龙江交通,10.095,5.78,5.65,5.78,5.65,5.25,34182135,2.81752
8,002412,汉森制药,10.021,26.46,26.46,26.46,24.08,24.05,14648257,5.10793
9,300209,天泽信息,10.021,25.8,25.8,25.8,25.8,23.45,353560,0.17389
10,603996,中新科技,10.019,29.54,29.54,29.54,29.54,26.85,57500,0.11477
11,600463,空港股份,10.018,18.67,17.45,18.67,17.21,16.97,13678095,5.42782
12,000678,襄阳轴承,10.018,12.41,11.6,12.41,11.59,11.28,40671568,13.50873
13,000606,青海明胶,10.012,18.46,18.46,18.46,17.17,16.78,188638341,40.19364
14,002786,银宝山新,10.012,27.36,27.36,27.36,27.36,24.87,8400,0.02643
15,600258,首旅酒店,10.011,29.89,29.89,29.89,29.89,27.17,447641,0.19345
16,000779,三毛派神,10.011,29.12,29.12,29.12,29.12,26.47,987893,0.52987
17,603999,读者传媒,10.009,58.8,58.8,58.8,58.0,53.45,28285884,47.14314
18,002781,奇信股份,10.009,37.37,37.37,37.37,37.37,33.97,43600,0.09689
19,002468,艾迪西,10.008,39.13,39.13,39.13,39.13,35.57,295010,0.08892
20,603508,N思维,10.006,77.84,77.84,77.84,77.84,70.76,24400,0.061
21,300492,山鼎设计,10.006,17.59,17.59,17.59,17.59,15.99,7900,0.03798
22,002780,三夫户外,10.005,62.34,62.34,62.34,62.34,56.67,583225,3.43074
23,300493,润欣科技,10.005,41.34,41.34,41.34,41.34,37.58,301286,1.00429
24,000971,高升控股,10.004,26.39,26.39,26.39,26.39,23.99,54901,0.02261
25,300495,美尚生态,10.004,89.29,89.29,89.29,89.29,81.17,22050,0.13204
26,300496,中科创达,10.002,140.01,140.01,140.01,140.01,127.28,319949,1.2798
27,603866,桃李面包,10.0,38.61,38.61,38.61,38.61,35.1,146800,0.32613
28,300148,天舟文化,10.0,17.6,17.6,17.6,17.6,16.0,505455,0.14942
29,603398,邦宝益智,9.998,92.42,89.87,92.42,87.66,84.02,17017064,70.90443
30,600734,实达集团,9.995,24.32,23.3,24.32,22.5,22.11,33798765,9.62631
31,300497,富祥股份,9.995,43.03,43.03,43.03,43.03,39.12,7200,0.04
32,002785,万里石,9.981,5.84,5.84,5.84,5.84,5.31,7800,0.0156
33,002677,浙江美大,9.98,21.82,19.99,21.82,19.54,19.84,17106171,4.53144
34,002782,可立克,9.979,21.27,21.27,21.27,21.27,19.34,33600,0.07887
35,002102,冠福股份,9.978,14.88,13.6,14.88,13.6,13.53,72062064,17.90157
36,002150,通润装备,9.974,12.68,12.68,12.68,12.68,11.53,902916,0.36088
37,000959,首钢股份,9.973,4.08,3.71,4.08,3.7,3.71,207556935,17.20829
38,000597,东北制药,9.968,10.37,10.37,10.37,10.37,9.43,2238083,0.51034
39,601700,风范股份,9.66,9.99,9.11,10.02,9.1,9.11,49134384,4.37648
40,600085,同仁堂,9.58,44.61,40.15,44.7,39.72,40.71,55636149,4.05668
41,002086,东方海洋,9.548,29.6,27.28,29.72,27.11,27.02,19555505,8.22321
42,002295,精艺股份,8.211,23.59,21.67,23.79,21.53,21.8,12448880,6.82209
43,300296,利亚德,8.085,25.0,23.31,25.23,23.12,23.13,18084876,4.9069
44,002615,哈尔斯,7.47,24.17,22.45,24.71,22.3,22.49,13654668,13.27569
45,002779,中坚科技,7.359,78.2,80.12,80.12,68.0,72.84,16223534,73.74334
46,002593,日上集团,6.999,36.69,36.8,37.72,35.82,34.29,20795132,15.8919
47,300234,开尔新材,6.973,24.7,23.6,25.4,23.5,23.09,12778836,9.04322
48,000565,渝三峡Ａ,6.857,14.96,14.02,15.4,14.02,14.0,56813270,13.10293
49,002596,海南瑞泽,6.577,43.75,41.7,44.98,41.47,41.05,8082333,5.09999
50,002504,弘高创意,6.338,30.2,31.24,31.24,29.52,28.4,26404471,19.06465
51,000552,靖远煤电,6.217,10.08,9.68,10.44,9.58,9.49,34793758,9.82527
52,600099,林海股份,6.133,14.19,12.9,14.71,12.6,13.37,41119534,18.76576
53,002366,台海核电,5.961,65.95,63.96,67.5,63.96,62.24,5363751,4.91038
54,603936,博敏电子,5.688,51.28,53.37,53.37,46.01,48.52,30219174,72.2083
55,002505,大康牧业,5.597,8.49,8.84,8.84,8.34,8.04,107442763,15.40844
56,600663,陆家嘴,5.58,50.14,47.58,51.0,47.55,47.49,19026878,1.40101
57,600468,百利电气,5.539,17.72,16.99,18.39,16.99,16.79,18192582,3.98792
58,600528,中铁二局,5.523,14.33,13.61,14.69,13.6,13.58,45141061,3.09355
59,002662,京威股份,5.465,22.0,21.0,22.9,20.45,20.86,15223961,2.64108
60,300270,中威电子,5.44,23.84,22.48,24.54,22.41,22.61,14393857,10.21624
61,000504,南华生物,5.304,29.98,29.0,31.28,28.9,28.47,14771272,4.76535
62,000628,高新发展,5.27,17.38,16.28,17.6,16.2,16.51,11053205,5.88003
63,300275,梅安森,5.202,36.4,35.0,37.16,34.1,34.6,5250202,4.85839
64,600848,上海临港,5.174,22.97,21.9,23.38,21.9,21.84,8596229,2.94249
65,600821,津劝业,5.164,11.2,10.68,11.57,10.66,10.65,34911795,8.38685
66,600182,S佳通,5.007,22.23,21.7,22.23,21.44,21.17,5360451,3.15321
67,600733,S前锋,5.0,42.0,40.13,42.0,40.13,40.0,3685039,4.87439
68,600593,大连圣亚,4.985,51.39,49.0,52.5,49.0,48.95,4000767,4.34866
69,000517,荣安地产,4.946,6.79,6.5,6.95,6.48,6.47,38634233,1.27277
70,002291,星期六,4.938,17.0,16.15,17.8,16.1,16.2,14673982,4.03853
71,002442,龙星化工,4.893,17.15,16.55,17.6,16.5,16.35,10993581,4.3724
72,002341,新纶科技,4.849,16.65,15.95,16.7,15.9,15.88,28840964,11.24708
73,300208,恒顺众昇,4.832,24.3,22.86,25.0,22.8,23.18,42468358,7.10981
74,002491,通鼎互联,4.813,19.38,18.75,19.98,18.75,18.49,62602728,5.80041
75,002730,电光科技,4.776,49.14,46.6,50.66,45.02,46.9,8601033,18.42947
76,300264,佳创视讯,4.733,27.66,27.5,28.19,26.41,26.41,17793040,10.42615
77,300342,天银机电,4.593,46.0,44.51,48.36,42.8,43.98,10667283,5.64471
78,002249,大洋电机,4.574,13.26,12.71,13.64,12.5,12.68,37990686,4.19616
79,000795,太原刚玉,4.481,15.39,14.59,15.88,14.55,14.73,34786130,10.65764
80,600855,航天长峰,4.449,39.68,38.0,40.2,37.8,37.99,18913156,5.72927
81,600684,珠江实业,4.428,10.14,9.73,10.28,9.58,9.71,33384749,4.69403
82,300188,美亚柏科,4.428,50.7,49.99,52.3,48.56,48.55,29851519,12.31556
83,002191,劲嘉股份,4.419,15.36,14.9,16.01,14.75,14.71,93932840,7.25532
84,600201,金宇集团,4.406,36.97,35.41,37.5,35.09,35.41,7339547,1.2989
85,000673,当代东方,4.304,34.9,33.5,35.25,33.41,33.46,8500270,4.0851
86,300301,长方照明,4.272,10.74,10.3,11.33,10.22,10.3,34422049,12.84231
