指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sh000001,2013-01-31,2289.51,2385.42,2234.95,2391.82,2671926066.0,2.2589904881e+12,0.0512487164684
sh000001,2013-02-28,2377.41,2365.59,2289.89,2444.8,1826534698.0,1.6272272385e+12,-0.00831300148402
sh000001,2013-03-31,2364.54,2236.62,2228.81,2369.65,2325954886.0,2.0398307633e+12,-0.0545191685795
sh000001,2013-04-30,2229.46,2177.91,2165.78,2253.42,1497143672.0,1.2851667449e+12,-0.0262494299434
sh000001,2013-05-31,2170.78,2300.6,2161.14,2334.34,2294899566.0,2.0867781704e+12,0.05633382463
sh000001,2013-06-30,2300.21,1979.21,1849.65,2313.43,1552384047.0,1.3300391338e+12,-0.139698339564
sh000001,2013-07-31,1965.99,1993.8,1946.37,2092.87,2164964322.0,1.8196955707e+12,0.00737162807383
sh000001,2013-08-31,2000.82,2098.38,1997.06,2198.85,2489486053.0,2.0684661545e+12,0.0524526030695
sh000001,2013-09-30,2104.09,2174.67,2078.46,2270.27,2999507730.0,2.5366142696e+12,0.0363566179624
sh000001,2013-10-31,2171.9,2141.61,2093.2,2242.98,2377395752.0,2.0975966198e+12,-0.0152023065569
sh000001,2013-11-30,2139.88,2220.5,2078.99,2234.39,2187871860.0,1.9216973784e+12,0.0368367723348
sh000001,2013-12-31,2203.12,2115.98,2068.54,2260.87,2071263961.0,1.7977083569e+12,-0.0470704796217
sh000001,2014-01-31,2112.13,2033.08,1984.82,2113.11,1563580327.0,1.3598306333e+12,-0.0391780640649
sh000001,2014-02-28,2022.32,2056.3,2014.38,2177.98,2051218338.0,1.7923761356e+12,0.0114210950873
sh000001,2014-03-31,2052.08,2033.31,1974.38,2079.55,2312976691.0,1.8635293942e+12,-0.0111802752517
sh000001,2014-04-30,2031.01,2026.36,1997.64,2146.67,2067447856.0,1.6765922531e+12,-0.00341807201066
sh000001,2014-05-31,2022.18,2039.21,1991.06,2061.06,1512460515.0,1.2000230352e+12,0.0063414200833
sh000001,2014-06-30,2039.2,2048.33,2010.53,2087.32,1591231475.0,1.3117464001e+12,0.0044723201632
sh000001,2014-07-31,2051.23,2201.56,2033.0,2202.13,2980954639.0,2.3896247672e+12,0.0748072820298
sh000001,2014-08-31,2194.17,2217.2,2180.6,2248.94,3343780111.0,2.7897140964e+12,0.00710405348934
sh000001,2014-09-30,2220.13,2363.87,2217.69,2365.49,4191031069.0,3.5521437549e+12,0.0661510012629
sh000001,2014-10-31,2368.58,2420.18,2279.84,2423.6,3697286923.0,3.1286284667e+12,0.0238211069137
sh000001,2014-11-30,2425.23,2682.84,2401.75,2683.18,5691334596.0,4.8813253556e+12,0.108529117669
sh000001,2014-12-31,2691.73,3234.68,2665.69,3239.36,11383522752.0,1.14813300569e+13,0.205692475138
